product,issue,sub_product,timely,company_response,submitted_via,company,date_received,state,sub_issue,common_complaints
Bank account or service,"Account opening, closing, or management",(CD) Certificate of deposit,Yes,Closed with explanation,Fax,TD BANK US HOLDING COMPANY,08-2014,ME,,1
Bank account or service,"Account opening, closing, or management",(CD) Certificate of deposit,Yes,Closed with explanation,Phone,WELLS FARGO & COMPANY,03-2016,AS,,1
Bank account or service,"Account opening, closing, or management",(CD) Certificate of deposit,Yes,Closed with explanation,Postal mail,WELLS FARGO & COMPANY,08-2014,VT,,1
Bank account or service,"Account opening, closing, or management",(CD) Certificate of deposit,Yes,Closed with explanation,Referral,BANK OF HAWAII CORPORATION,01-2017,AS,,1
Bank account or service,"Account opening, closing, or management",(CD) Certificate of deposit,Yes,Closed with explanation,Referral,"CITIZENS FINANCIAL GROUP, INC.",05-2012,VT,,1
Bank account or service,"Account opening, closing, or management",(CD) Certificate of deposit,Yes,Closed with explanation,Referral,COMMERCE BANK,08-2014,KS,,1
Bank account or service,"Account opening, closing, or management",(CD) Certificate of deposit,Yes,Closed with explanation,Referral,JPMORGAN CHASE & CO.,01-2013,GU,,1
Bank account or service,"Account opening, closing, or management",(CD) Certificate of deposit,Yes,Closed with explanation,Referral,REGIONS FINANCIAL CORPORATION,05-2012,VT,,1
Bank account or service,"Account opening, closing, or management",(CD) Certificate of deposit,Yes,Closed with explanation,Web,U.S. BANCORP,08-2014,KY,,1
Bank account or service,"Account opening, closing, or management",(CD) Certificate of deposit,Yes,Closed with non-monetary relief,Web,ALLY FINANCIAL INC.,08-2014,AZ,,1
Bank account or service,"Account opening, closing, or management",Cashing a check without an account,Yes,Closed with explanation,Web,"CITIZENS FINANCIAL GROUP, INC.",08-2014,MA,,1
Bank account or service,"Account opening, closing, or management",Checking account,No,Closed with explanation,Referral,BANK OF HAWAII CORPORATION,02-2014,GU,,1
Bank account or service,"Account opening, closing, or management",Checking account,Yes,Closed with explanation,Fax,"SUNTRUST BANKS, INC.",08-2014,MD,,1
Bank account or service,"Account opening, closing, or management",Checking account,Yes,Closed with explanation,Phone,"BANK OF AMERICA, NATIONAL ASSOCIATION",08-2014,OR,,1
Bank account or service,"Account opening, closing, or management",Checking account,Yes,Closed with explanation,Phone,JPMORGAN CHASE & CO.,08-2014,CT,,1
Bank account or service,"Account opening, closing, or management",Checking account,Yes,Closed with explanation,Phone,U.S. BANCORP,07-2014,MT,,1
Bank account or service,"Account opening, closing, or management",Checking account,Yes,Closed with explanation,Phone,U.S. BANCORP,12-2016,MP,,1
Bank account or service,"Account opening, closing, or management",Checking account,Yes,Closed with explanation,Phone,UNITED SERVICES AUTOMOBILE ASSOCIATION,06-2012,CA,,1
Bank account or service,"Account opening, closing, or management",Checking account,Yes,Closed with explanation,Phone,WELLS FARGO & COMPANY,08-2014,IA,,1
Bank account or service,"Account opening, closing, or management",Checking account,Yes,Closed with explanation,Phone,WELLS FARGO & COMPANY,08-2014,MD,,1
Bank account or service,"Account opening, closing, or management",Checking account,Yes,Closed with explanation,Phone,WELLS FARGO & COMPANY,08-2014,OK,,1
Bank account or service,"Account opening, closing, or management",Checking account,Yes,Closed with explanation,Postal mail,"BANK OF AMERICA, NATIONAL ASSOCIATION",08-2014,NM,,1
Bank account or service,"Account opening, closing, or management",Checking account,Yes,Closed with explanation,Postal mail,WELLS FARGO & COMPANY,08-2014,FL,,1
Bank account or service,"Account opening, closing, or management",Checking account,Yes,Closed with explanation,Referral,BANCO POPULAR DE PUERTO RICO,08-2014,VI,,1
Bank account or service,"Account opening, closing, or management",Checking account,Yes,Closed with explanation,Referral,"BANK OF AMERICA, NATIONAL ASSOCIATION",08-2014,IL,,1
